kon	alder	lagmellanstdlr	amneslarare	lararePrakEstet	yrkeslarare	Humanist	Konstutb	Teolog	Biblinfo	Ekonom	Org_adm	Jurist	Journalist	Psykolog	Samhbetvet	Biolog	Systvet	Geovet	Kemist	Matstat	Datavet	Arkitekt	Civ_ing	Hgsk_ing	Agronom	Veterinar	Apotekare	Arbterap	Biomed_analyt	Lakare	Receptarie	Sjukgymn	Sjukskoterska	Soc_omsorg	Socionom	Tandhyg	Tandlakare	Akademiker_totalt
m	finalSalary	13480462	14045955	13410768	13585952	14095996	12869294	14472022	12754604	20779711	18263263	20657272	15939097	15724989	16711748	13971729	17877251	14836954	15131071	16489064	16749514	15271578	20443340	16722370	16296537	16137154	19729407	0	14255192	22965898	0	13366788	14855507	13499253	14382616	0	18071453	17838269
k	finalSalary	12902081	13441590	13017499	13711411	13786940	12429032	14401950	12753104	18433472	17108635	19061226	15512417	15090802	15214577	13572196	16690690	14124211	14622302	16219514	15960191	15953001	18330997	14355270	15178322	16103475	19227184	12770140	13300303	22466883	14117618	13138869	13997338	13531034	13841134	12707514	17852871	15184265
